Unnamed: 0,product_id,brand,gender,category,master_category,su_cCategory,article_type,mrp,price,discount,discount_type,discount_display_label,coupon_discount,best_price,rating,rating_count,listViews,inventory,available,sizes,has_multiple_sizes,snapshot_date,season,is_fast_fashion,promotion_tags,has_promotion,year,preferred_delivery_tag,delivery_promise
,30712694,Rain & Rainbow,Women,Dresses,Apparel,Dress,Dresses,4295,1503,2792,1,(65% OFF),451,1052,4.35609769821167,410,0,58,True,"S,M,L,XL,XXL",True,2026-01-10,Summer,True,Festive_Price_Crash|GST_Benefit_Included,True,2024,EXPRESS,Delivery By Jan 13
,29781736,DressBerry,Women,Dresses,Apparel,Dress,Dresses,4399,1231,3168,1,(72% OFF),370,861,4.47863245010376,117,0,3,True,"XS,S,M,L,XL",True,2026-01-10,Winter,True,,False,2024,EXPRESS,Delivery By Jan 12
,32418619,TextileNow,Women,Ethnic Dresses,Apparel,Dress,Ethnic Dresses,6999,1520,5479,1,(Rs. 5479 OFF),456,1064,4.400000095367432,625,0,118,True,"XS,S,M,L,XL,XXL",True,2026-01-10,Winter,False,Crazy_Deal|Festive_Price_Crash,True,2025,,
,37517082,SASSAFRAS Curve,Women,Dresses,Apparel,Dress,Dresses,3999,1919,2080,1,(Rs. 2080 OFF),500,1419,4.239436626434326,71,0,13,True,"XXL,3XL,4XL,5XL,6XL",True,2026-01-10,Winter,True,Myntra_Unique,True,2025,EXPRESS,Delivery By Jan 11
,29538324,DressBerry,Women,Dresses,Apparel,Dress,Dresses,2899,723,2176,1,(75% OFF),254,469,4.290436744689941,847,0,56,True,"S,M,L,XL,XXL",True,2026-01-10,Fall,True,Crazy_Deal|Festive_Price_Crash,True,2024,EXPRESS,Delivery By Jan 13
,30639836,Antheaa,Women,Dresses,Apparel,Dress,Dresses,3499,1784,1715,1,(49% OFF),500,1284,4.343096256256104,478,0,114,True,"XS,S,M,L,XL,XXL",True,2026-01-10,Fall,True,Crazy_Deal|Festive_Price_Crash|GST_Benefit_Included,True,2024,EXPRESS,Delivery By Jan 12
,28244954,StyleCast,Women,Dresses,Apparel,Dress,Dresses,3149,1165,1984,1,(63% OFF),350,815,3.933085441589356,1614,0,276,True,"S,M,L,XL",True,2026-01-10,Summer,True,Crazy_Deal|Festive_Price_Crash|GST_Benefit_Included|Myntra_Unique,True,2024,EXPRESS,Delivery By Jan 12
,36085856,Vero Moda,Women,Dresses,Apparel,Dress,Dresses,4999,2999,2000,1,(40% OFF),500,2499,4.363636493682861,22,0,13,True,"XS,S,M,L,XL",True,2026-01-10,Winter,True,,False,2025,,
,22270004,Antheaa,Women,Dresses,Apparel,Dress,Dresses,2859,1458,1401,1,(49% OFF),438,1020,4.343268871307373,2013,0,119,True,"XS,S,M,L,XL,XXL",True,2026-01-10,Spring,True,Crazy_Deal|Festive_Price_Crash|GST_Benefit_Included,True,2023,EXPRESS,Delivery By Jan 12
,24111974,Antheaa,Women,Dresses,Apparel,Dress,Dresses,2899,1507,1392,1,(48% OFF),453,1054,4.417564868927002,2505,0,122,True,"XS,S,M,L,XL,XXL",True,2026-01-10,Fall,True,Crazy_Deal|Festive_Price_Crash|GST_Benefit_Included,True,2023,EXPRESS,Delivery By Jan 12
